Semana,AUDI: (Argentina),BMW: (Argentina),MERCEDES BENZ: (Argentina),,,
1/1/2019,43356.37,7290.05,22782.66,,,
2/1/2019,76535.76,77847.80,69516.78,,,
3/1/2019,41528.64,78346.11,60044.24,,,
4/1/2019,23257.53,73796.99,109625.98,,,
5/1/2019,33934.74,87682.96,212356.10,,,
6/1/2019,45952.45,85067.09,160500.52,,,
7/1/2019,4447.60,43524.70,93422.57,,,
8/1/2019,89555.38,110979.19,127286.82,,,
9/1/2019,84698.69,103276.06,144828.39,,,
10/1/2019,101652.66,11404.92,158442.45,,,
11/1/2019,107474.10,143126.93,185836.32,,,
12/1/2019,74483.01,164213.80,309583.38,,,
1/1/2020,37932.39,3598.35,28757.21,,,
2/1/2020,75699.38,91059.60,70029.31,,,
3/1/2020,33696.02,62964.23,37168.25,,,
4/1/2020,693.39,,593.85,,,
5/1/2020,1171.56,,33288.55,,,
6/1/2020,749.41,,41893.06,,,
7/1/2020,1354.93,6924.64,83316.13,,,
8/1/2020,1261.14,3388.18,74964.64,,,
9/1/2020,5056.96,7412.11,115498.61,,,
10/1/2020,216.25,6020.43,113998.68,,,
11/1/2020,80167.69,151732.13,109612.62,,,
12/1/2020,,123941.12,188609.27,,,
1/1/2021,19167.00,31425.23,34429.81,,,
2/1/2021,,84539.07,64754.96,,,
3/1/2021,1388.10,101982.10,90407.85,,,
4/1/2021,,93381.80,86598.45,,,
5/1/2021,,80861.49,118676.26,,,
6/1/2021,2321.66,87130.51,85175.68,,,
7/1/2021,6.38,77709.22,76962.98,,,
8/1/2021,140.25,117502.70,54231.10,,,
9/1/2021,140.25,60593.01,85129.48,,,
10/1/2021,119.00,94529.95,77760.81,,,
11/1/2021,442.19,163703.25,87209.78,,,
12/1/2021,200.96,160119.11,218542.61,,,
1/1/2022,526.58,26902.86,46771.32,,,
2/1/2022,549.88,46942.07,59446.16,,,
3/1/2022,218.17,76691.56,73461.14,,,
4/1/2022,202.13,121956.62,59771.94,,,
5/1/2022,189.30,135577.99,109433.21,,,
6/1/2022,,73758.31,45159.72,,,
7/1/2022,,59886.31,26004.49,,,
8/1/2022,,88901.44,17957.06,,,
9/1/2022,,102048.50,42319.91,,,
10/1/2022,660.28,102770.79,94226.46,,,
11/1/2022,,184117.06,87694.60,,,
12/1/2022,,157172.42,98198.37,,,
1/1/2023,,27646.78,23322.03,,,
2/1/2023,,53402.70,28148.86,,,
3/1/2023,,77431.40,26597.13,,,
4/1/2023,6884.03,116962.94,44502.22,,,
5/1/2023,46501.67,115523.21,89861.32,,,
6/1/2023,14989.36,73206.22,28858.86,,,
7/1/2023,232.83,31435.00,13992.36,,,
